modelo,C_L,C_U_init,kernel,gamma_I,n_neighbors,C,accuracy_test,f1_test,accuracy_train,f1_train
TSVM,0.1,0.001,linear,,,,0.7915882678472607,0.7576469063290167,0.8225,0.7942987440674136
TSVM,0.1,0.001,rbf,,,,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
TSVM,0.1,0.01,linear,,,,0.792584394023243,0.7599503186720814,0.815,0.7848073593073593
TSVM,0.1,0.01,rbf,,,,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
TSVM,0.1,0.1,linear,,,,0.8066408411732153,0.7834541577401221,0.825,0.8021493118885756
TSVM,0.1,0.1,rbf,,,,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
TSVM,1.0,0.001,linear,,,,0.8044272274488102,0.7828800525079186,0.8325,0.8136926084189472
TSVM,1.0,0.001,rbf,,,,0.7980077476480354,0.7546854813683146,0.8325,0.8013508771929824
TSVM,1.0,0.01,linear,,,,0.7997786386275595,0.7774725637837506,0.835,0.8170477664750111
TSVM,1.0,0.01,rbf,,,,0.7892639734366353,0.7354374052492615,0.8175,0.7780752434755485
TSVM,1.0,0.1,linear,,,,0.8023242944106254,0.782357350431825,0.8275,0.8104757258471932
TSVM,1.0,0.1,rbf,,,,0.797786386275595,0.753565473475899,0.83,0.7975711532427949
TSVM,10.0,0.001,linear,,,,0.806972883231876,0.788317537034868,0.83,0.8126588628762542
TSVM,10.0,0.001,rbf,,,,0.7986718317653569,0.7945227033510638,0.935,0.9332658102766799
TSVM,10.0,0.01,linear,,,,0.8055340343110128,0.785460224524349,0.835,0.8181688963210704
TSVM,10.0,0.01,rbf,,,,0.801770890979524,0.7949074316911879,0.925,0.9223387096774194
TSVM,10.0,0.1,linear,,,,0.8024349750968456,0.781390318097491,0.835,0.8181688963210704
TSVM,10.0,0.1,rbf,,,,0.7973436635307138,0.7912811036995343,0.9225,0.9195724592700546
LapSVM,,,,0.01,5.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.01,5.0,1.0,0.8116214720531267,0.7878347028275626,0.87,0.8558558160106147
LapSVM,,,,0.01,5.0,10.0,0.800885445489762,0.7968889645132328,0.935,0.9332658102766799
LapSVM,,,,0.01,7.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.01,7.0,1.0,0.8119535141117875,0.7884257142637756,0.87,0.8558558160106147
LapSVM,,,,0.01,7.0,10.0,0.8006640841173215,0.7966631601380392,0.935,0.9332658102766799
LapSVM,,,,0.01,10.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.01,10.0,1.0,0.812174875484228,0.7889825493237131,0.8725,0.8590645161290322
LapSVM,,,,0.01,10.0,10.0,0.8005534034311013,0.7967102044038527,0.935,0.9332658102766799
LapSVM,,,,0.1,5.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.1,5.0,1.0,0.8129496402877698,0.7914994205945614,0.8825,0.8709037552872183
LapSVM,,,,0.1,5.0,10.0,0.797786386275595,0.7939078225482207,0.9375,0.935964623159745
LapSVM,,,,0.1,7.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.1,7.0,1.0,0.8130603209739901,0.7926362030770004,0.89,0.880203125
LapSVM,,,,0.1,7.0,10.0,0.7988931931377975,0.7952844946561395,0.9375,0.935964623159745
LapSVM,,,,0.1,10.0,0.1,0.7520752628666297,0.6456540001489259,0.7525,0.6462268188302426
LapSVM,,,,0.1,10.0,1.0,0.8125069175428887,0.7927327498013754,0.8975,0.8893113328389401
LapSVM,,,,0.1,10.0,10.0,0.7947980077476481,0.7921227542391908,0.9425,0.9413247289127723
LapSVM,,,,1.0,5.0,0.1,0.7531820697288323,0.6482659007482334,0.755,0.6521000000000001
LapSVM,,,,1.0,5.0,1.0,0.8039845047039291,0.787045813187637,0.9,0.8934448462929475
LapSVM,,,,1.0,5.0,10.0,0.7768677365799668,0.7761556393609474,0.9475,0.9470361755341398
LapSVM,,,,1.0,7.0,0.1,0.7563918096292197,0.6557339687755565,0.7625,0.6691587385605438
LapSVM,,,,1.0,7.0,1.0,0.8030990592141671,0.7913275644077264,0.9175,0.913996381641592
LapSVM,,,,1.0,7.0,10.0,0.7745434421693415,0.7728113162160951,0.9475,0.9470361755341398
LapSVM,,,,1.0,10.0,0.1,0.7681239623685667,0.6836181396895973,0.7875,0.7207233579369067
LapSVM,,,,1.0,10.0,1.0,0.7984504703929164,0.7907800001115927,0.925,0.9233135441840915
LapSVM,,,,1.0,10.0,10.0,0.7733259546209187,0.7671722539317825,0.9475,0.9477603219295841
